observacion,valor
k-folds,"[0.4634146341463415, 0.6341463414634146, 0.6585365853658537, 0.6341463414634146, 0.5, 0.5952380952380952, 0.5238095238095238, 0.5714285714285714, 0.5365853658536586, 0.6097560975609756]"
mean,0.5727061556329849
