corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
0,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
1,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
2,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
3,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
4,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
5,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
6,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
7,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
8,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
9,0.9362509296266103,0.764323467230444,0.8402062849706834,0.9841142052409195,0.9963699971593882,0.9901994595852234,0.9601825674337648,0.8803467321949162,0.9152028722779534,0.9810520224844066,0.9815335669897651,0.9806092658232327,0.9622641509433962,0.7338129496402878,0.8326530612244898,0.9867668097281831,0.9985522982265653,0.9926245727648858,0.9745154803357896,0.8661826239334265,0.9126388169946877,0.9855931813439359,0.9858718125430738,0.9849622570846256
