corrida,precision 0,recall 0,fscore 0,precision 1,recall 1,fscore 1,precision macro,recall macro,fscore macro,precision weighted,recall weighted,fscore weighted
0,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
1,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
2,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
3,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
4,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
5,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
6,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
7,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
8,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
9,0.4703846025828785,0.28145795523290984,0.3499467535473265,0.9559408016174927,0.97977852730328,0.9677041056425262,0.7131627021001856,0.6306182412680948,0.6588254295949264,0.9272295159797904,0.938475582657448,0.9311684626955203
