class,metric,value
0,presicion,0.05757406372275014
1,presicion,1.0
macro avg,presicion,0.5287870318613751
weighted avg,presicion,0.9457710215438231
0,recall,1.0
1,recall,0.0005927682276229994
macro avg,recall,0.5002963841138115
weighted avg,recall,0.05810055865921788
0,f1-score,0.10887949260042283
1,f1-score,0.001184834123222749
macro avg,f1-score,0.05503216336182279
weighted avg,f1-score,0.007381789331687334
