observacion,valor
k-folds,"[0.6097560975609756, 0.6585365853658537, 0.6829268292682927, 0.6585365853658537, 0.5952380952380952, 0.5714285714285714, 0.5476190476190477, 0.6428571428571429, 0.4878048780487805, 0.5853658536585366]"
mean,0.604006968641115
