class,metric,value
0,presicion,0.96
1,presicion,0.9958579881656805
macro avg,presicion,0.9779289940828402
weighted avg,presicion,0.993794651416482
0,recall,0.9320388349514563
1,recall,0.997628927089508
macro avg,recall,0.9648338810204822
weighted avg,recall,0.993854748603352
0,f1-score,0.9458128078817734
1,f1-score,0.996742671009772
macro avg,f1-score,0.9712777394457727
weighted avg,f1-score,0.9938120699470994
