class,metric,value
0,presicion,0.68
1,presicion,0.9696793002915451
macro avg,presicion,0.8248396501457727
weighted avg,presicion,0.9530106031239312
0,recall,0.49514563106796117
1,recall,0.9857735625370481
macro avg,recall,0.7404595968025046
weighted avg,recall,0.9575418994413408
0,f1-score,0.5730337078651685
1,f1-score,0.9776601998824221
macro avg,f1-score,0.7753469538737954
weighted avg,f1-score,0.9543772229674629
