observacion,valor
k-folds,"[0.9024390243902439, 0.7804878048780488, 0.9024390243902439, 0.7804878048780488, 0.8571428571428571, 0.9047619047619048, 0.8095238095238095, 0.8809523809523809, 0.8048780487804879, 0.7804878048780488]"
mean,0.8403600464576074
