class,metric,value
0,presicion,0.8363636363636363
1,presicion,0.993452380952381
macro avg,presicion,0.9149080086580086
weighted avg,presicion,0.984413196207889
0,recall,0.8932038834951457
1,recall,0.989330171902786
macro avg,recall,0.9412670276989659
weighted avg,recall,0.9837988826815642
0,f1-score,0.863849765258216
1,f1-score,0.9913869913869914
macro avg,f1-score,0.9276183783226037
weighted avg,f1-score,0.9840482571460618
