observacion,valor
k-folds,"[0.6829268292682927, 0.7317073170731707, 0.6829268292682927, 0.6585365853658537, 0.6904761904761905, 0.7857142857142857, 0.6428571428571429, 0.7619047619047619, 0.6829268292682927, 0.6829268292682927]"
mean,0.7002903600464576
