solucion,valor
continua,"[0.48995712396919017, 0.2899246980041094, 0.48883211372898433, 0.9142738866694553, 0.710066078840503, 0.6555205378861558, 0.887705583144852, 0.730805416347715, 0.2946441351163285, 0.5698096722087799, 0.4342141169881642, 0.7562510657707233, 0.9731637969324838, 0.730327642944282, 0.911999488179925, 0.5031089383079654, 0.7387807322421849, 0.755109992185076, 0.753692132855571, 0.922285706973692, 0.6405200966086376, 0.9193838634690855, 0.7239001388846509, 0.5638861497227747, 0.8861069693588466, 0.18536839983024891, 0.491886877954713, 0.19166539551896575, 0.3982519430377375, 0.0017518106915508603, 0.020338425362775886, 0.06805791619357644, 0.6825826173806068, 0.8150449011165598, 0.14114823192769263, 0.4594088286913355, 0.28787432170287086, 0.7327200971536801, 0.584489264579019, 0.3029947733982422, 0.4444436179718616, 0.2865869389941671, 0.4448909758851095, 0.3198104371411505, 0.7338468641443813, 0.1936353189714321, 0.2680024375004799, 0.27086643835811164, 0.4965673218624484, 0.08269514697489888, 0.7222663521969662, 0.054834435614704885, 0.04912438538044954, 0.24114457361545205, 0.7996741976416605, 0.10063103762551306, 0.46092662771201687, 0.2263763205235127, 0.2390590783844673, 0.5765406567887167, 0.2802655034085879, 0.6890113172705826, 0.1932008707815601, 0.9257002687539041, 0.1540194725425729, 0.4687667166973968, 0.46660424192586, 0.21805173128129415, 0.13517245469033637, 0.30486931526291333, 0.5268553318647121, 0.39399598697079014, 0.33184543695260305, 0.9220322243655581, 0.1946056001641969, 0.6658641381101995]"
binaria,"[False, False, False, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, True, True, False, False, False, True, True, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, False, False, False, False, True, False, True, False, True, False, False, False, False, False, False, True, False, False, True, False, True]"
