metric,fold,avg
mcc,"[0.39597645156716604, 0.20922676253223293, 0.3377607496391216, 0.4792079804391137, 0.34408757049291633, 0.5215538008907916, 0.42642944738605476, 0.4155046323621777, 0.361019753166093, 0.49048579980006235]",0.398125294827573
f1,"[0.9730123997082422, 0.9626373626373628, 0.9684981684981684, 0.9735294117647059, 0.9700511322132944, 0.9757531227038942, 0.9729334308705193, 0.9737609329446063, 0.9675994108983799, 0.9734513274336284]",0.9711226699672801
accuracy,"[0.9483240223463687, 0.9287709497206704, 0.9399441340782123, 0.9497206703910615, 0.9427374301675978, 0.9539106145251397, 0.9483240223463687, 0.9497206703910615, 0.9384615384615385, 0.9496503496503497]",0.944956440207837
precision,"[0.9583333333333334, 0.9521739130434783, 0.9579710144927536, 0.9664233576642336, 0.9553956834532374, 0.9665211062590975, 0.9595959595959596, 0.9570200573065902, 0.9605263157894737, 0.967741935483871]",0.9601702676422029
recall,"[0.9881481481481481, 0.9733333333333334, 0.9792592592592593, 0.9807407407407407, 0.9851632047477745, 0.9851632047477745, 0.9866468842729971, 0.9910979228486647, 0.9747774480712166, 0.9792284866468842]",0.9823558632816793
