metric,fold,avg
mcc,"[0.9471656357141464, 0.8918803100460138, 0.9738631373241615, 0.8801452751582111, 0.9218671438155017, 0.9744553644244383, 0.9351284671196427, 0.9872913795215683, 0.8631590253635825, 0.8776829175647232]",0.9252638656051989
f1,"[0.9970457902511078, 0.9941089837997055, 0.9985207100591716, 0.9933481152993349, 0.9955621301775148, 0.9985185185185186, 0.9963045084996305, 0.9992587101556708, 0.9926362297496318, 0.9933579335793358]",0.9958661630089622
accuracy,"[0.994413407821229, 0.9888268156424581, 0.9972067039106145, 0.9874301675977654, 0.9916201117318436, 0.9972067039106145, 0.9930167597765364, 0.9986033519553073, 0.986013986013986, 0.9874125874125874]",0.9921750595772941
precision,"[0.9941089837997055, 0.9882869692532943, 0.9970457902511078, 0.9911504424778761, 0.9926253687315634, 0.9970414201183432, 0.9926362297496318, 0.9985185185185185, 0.9853801169590644, 0.9882525697503671]",0.9925046409609471
recall,"[1.0, 1.0, 1.0, 0.9955555555555555, 0.9985163204747775, 1.0, 1.0, 1.0, 1.0, 0.9985163204747775]",0.999258819650511
