observacion,valor
k-folds,"[0.9512195121951219, 0.8536585365853658, 0.8536585365853658, 0.7560975609756098, 0.9047619047619048, 0.8809523809523809, 0.8333333333333334, 0.8095238095238095, 0.8292682926829268, 0.7804878048780488]"
mean,0.8452961672473867
