metric,fold,avg
mcc,"[0.5682188399790803, 0.6636252440867892, 0.6309758998272552, 0.5998316392457737, 0.7244963071943311, 0.7478167242034636, 0.6876507380193495, 0.7033251714113457, 0.5456545786504329, 0.6127077728432418]",0.6484302915461064
f1,"[0.9755736491487788, 0.9783743475018644, 0.9769173492181682, 0.9722846441947565, 0.982089552238806, 0.9835820895522387, 0.9830258302583027, 0.9821693907875185, 0.970873786407767, 0.9769516728624534]",0.9781842312170654
accuracy,"[0.9539106145251397, 0.9594972067039106, 0.9567039106145251, 0.9483240223463687, 0.9664804469273743, 0.9692737430167597, 0.9678770949720671, 0.9664804469273743, 0.9454545454545454, 0.9566433566433566]",0.9590645388131422
precision,"[0.9748520710059172, 0.984984984984985, 0.9820359281437125, 0.9833333333333333, 0.987987987987988, 0.9894894894894894, 0.9779735682819384, 0.9836309523809523, 0.9774436090225563, 0.9791356184798807]",0.9820867543110753
recall,"[0.9762962962962963, 0.9718518518518519, 0.9718518518518519, 0.9614814814814815, 0.9762611275964391, 0.9777448071216617, 0.9881305637982196, 0.9807121661721068, 0.9643916913946587, 0.9747774480712166]",0.9743499285635784
