metric,fold,avg
mcc,"[0.7234273897756489, 0.6753482054476503, 0.7498402480645635, 0.6879799679615395, 0.78961782455129, 0.7486272767994636, 0.7609603866866594, 0.8065076270592916, 0.663030168235893, 0.7490806978387049]",0.7354419792420704
f1,"[0.9781461944235117, 0.9743589743589742, 0.9812171299774606, 0.9735049205147616, 0.983433734939759, 0.979622641509434, 0.9827456864216054, 0.9865269461077844, 0.9751693002257337, 0.9827715355805243]",0.9797497064059548
accuracy,"[0.9594972067039106, 0.952513966480447, 0.9650837988826816, 0.9511173184357542, 0.9692737430167597, 0.9622905027932961, 0.9678770949720671, 0.9748603351955307, 0.9538461538461539, 0.9678321678321679]",0.9624192288158768
precision,"[0.995398773006135, 0.9923195084485407, 0.9954268292682927, 0.9953560371517027, 0.9984709480122325, 0.9969278033794163, 0.9939301972685888, 0.9954682779456193, 0.9893129770992366, 0.9924357034795764]",0.9945047055059343
recall,"[0.9614814814814815, 0.957037037037037, 0.9674074074074074, 0.9525925925925925, 0.9688427299703264, 0.9629080118694362, 0.9718100890207715, 0.9777448071216617, 0.9614243323442137, 0.973293768545994]",0.9654542257390922
