metric,fold,avg
mcc,"[0.9605874524639654, 0.9198572258773156, 0.9473755397429992, 0.8801452751582111, 0.9617105505522753, 0.961486680313974, 0.961486680313974, 0.9744553644244383, 0.9335861133284261, 0.8928491642668334]",0.9393540046442412
f1,"[0.9977827050997783, 0.9955752212389382, 0.9970414201183432, 0.9933481152993349, 0.9977761304670126, 0.9977794226498891, 0.9977794226498891, 0.9985185185185186, 0.9963045084996305, 0.9940828402366864]",0.9965988304778021
accuracy,"[0.9958100558659218, 0.9916201117318436, 0.994413407821229, 0.9874301675977654, 0.9958100558659218, 0.9958100558659218, 0.9958100558659218, 0.9972067039106145, 0.993006993006993, 0.9888111888111888]",0.9935728796343322
precision,"[0.995575221238938, 0.9911894273127754, 0.9955686853766618, 0.9911504424778761, 0.997037037037037, 0.9955686853766618, 0.9955686853766618, 0.9970414201183432, 0.9926362297496318, 0.9911504424778761]",0.9942486276542463
recall,"[1.0, 1.0, 0.9985185185185185, 0.9955555555555555, 0.9985163204747775, 1.0, 1.0, 1.0, 1.0, 0.9970326409495549]",0.9989623035498407
