observacion,valor
k-folds,"[0.926829268292683, 0.7804878048780488, 0.9024390243902439, 0.7804878048780488, 0.9285714285714286, 0.9047619047619048, 0.8571428571428571, 0.8333333333333334, 0.7804878048780488, 0.8048780487804879]"
mean,0.8499419279907086
