observacion,valor
k-folds,"[0.9512195121951219, 0.8292682926829268, 0.926829268292683, 0.8780487804878049, 0.9285714285714286, 0.9047619047619048, 0.8333333333333334, 0.9047619047619048, 0.7317073170731707, 0.8048780487804879]"
mean,0.8693379790940767
