class,metric,value
0,presicion,0.589041095890411
1,presicion,0.965055329062318
macro avg,presicion,0.7770482124763645
weighted avg,presicion,0.9434187558686272
0,recall,0.4174757281553398
1,recall,0.98221695317131
macro avg,recall,0.6998463406633249
weighted avg,recall,0.9497206703910615
0,f1-score,0.48863636363636365
1,f1-score,0.9735605170387779
macro avg,f1-score,0.7310984403375708
weighted avg,f1-score,0.9456570601670189
