observacion,valor
k-folds,"[0.926829268292683, 0.9024390243902439, 0.8048780487804879, 0.8048780487804879, 0.9523809523809523, 0.8809523809523809, 0.8809523809523809, 0.9285714285714286, 0.7560975609756098, 0.7560975609756098]"
mean,0.8594076655052264
