class,metric,value
0,presicion,0.9895833333333334
1,presicion,0.9952774498229043
macro avg,presicion,0.9924303915781189
weighted avg,presicion,0.9949497995444542
0,recall,0.9223300970873787
1,recall,0.999407231772377
macro avg,recall,0.9608686644298778
weighted avg,recall,0.9949720670391061
0,f1-score,0.9547738693467337
1,f1-score,0.997338065661047
macro avg,f1-score,0.9760559675038903
weighted avg,f1-score,0.9948888409569272
