observacion,valor
k-folds,"[0.8292682926829268, 0.7073170731707317, 0.7073170731707317, 0.7073170731707317, 0.7142857142857143, 0.6428571428571429, 0.6428571428571429, 0.6666666666666666, 0.6585365853658537, 0.6829268292682927]"
mean,0.6959349593495935
