class,metric,value
0,presicion,0.8024691358024691
1,presicion,0.9777647747220597
macro avg,presicion,0.8901169552622644
weighted avg,presicion,0.9676779306948431
0,recall,0.6310679611650486
1,recall,0.990515708358032
macro avg,recall,0.8107918347615404
weighted avg,recall,0.9698324022346368
0,f1-score,0.7065217391304348
1,f1-score,0.9840989399293286
macro avg,f1-score,0.8453103395298818
weighted avg,f1-score,0.9681266205537498
