,corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,15.0,0.8237831864143113,0.519556025369979,0.6345080465213749,0.9679948610973943,0.9922668081989026,0.9799734960116175,0.8958890237558528,0.7559114167844403,0.8072407712664964,0.9587669879845174,0.962034253100609,0.9578786199994062,0.916666666666667,0.39568345323741005,0.5527638190954776,0.9704433497536944,0.9981903727832067,0.9841213202497768,0.9435550082101803,0.6969369130103084,0.7684425696726268,0.967867554113069,0.9693314955203304,0.9634601580649224
std,9.092121131323903,3.385725185095924e-16,1.1285750616986414e-16,1.1285750616986414e-16,3.385725185095924e-16,0.0,2.2571501233972827e-16,0.0,4.514300246794565e-16,0.0,2.2571501233972827e-16,2.2571501233972827e-16,2.2571501233972827e-16,3.385725185095924e-16,5.642875308493207e-17,2.2571501233972827e-16,2.2571501233972827e-16,1.1285750616986414e-16,0.0,4.514300246794565e-16,0.0,3.385725185095924e-16,4.514300246794565e-16,4.514300246794565e-16,0.0
min,0.0,0.8237831864143116,0.5195560253699789,0.6345080465213748,0.967994861097394,0.9922668081989026,0.9799734960116178,0.8958890237558528,0.7559114167844407,0.8072407712664964,0.9587669879845172,0.9620342531006092,0.9578786199994064,0.9166666666666666,0.39568345323741,0.5527638190954773,0.9704433497536946,0.9981903727832068,0.9841213202497768,0.9435550082101808,0.6969369130103084,0.7684425696726271,0.9678675541130686,0.9693314955203308,0.9634601580649224
25%,7.5,0.8237831864143116,0.5195560253699789,0.6345080465213748,0.967994861097394,0.9922668081989026,0.9799734960116178,0.8958890237558528,0.7559114167844407,0.8072407712664964,0.9587669879845172,0.9620342531006092,0.9578786199994064,0.9166666666666666,0.39568345323741,0.5527638190954773,0.9704433497536946,0.9981903727832068,0.9841213202497768,0.9435550082101808,0.6969369130103084,0.7684425696726271,0.9678675541130686,0.9693314955203308,0.9634601580649224
50%,15.0,0.8237831864143116,0.5195560253699789,0.6345080465213748,0.967994861097394,0.9922668081989026,0.9799734960116178,0.8958890237558528,0.7559114167844407,0.8072407712664964,0.9587669879845172,0.9620342531006092,0.9578786199994064,0.9166666666666666,0.39568345323741,0.5527638190954773,0.9704433497536946,0.9981903727832068,0.9841213202497768,0.9435550082101808,0.6969369130103084,0.7684425696726271,0.9678675541130686,0.9693314955203308,0.9634601580649224
75%,22.5,0.8237831864143116,0.5195560253699789,0.6345080465213748,0.967994861097394,0.9922668081989026,0.9799734960116178,0.8958890237558528,0.7559114167844407,0.8072407712664964,0.9587669879845172,0.9620342531006092,0.9578786199994064,0.9166666666666666,0.39568345323741,0.5527638190954773,0.9704433497536946,0.9981903727832068,0.9841213202497768,0.9435550082101808,0.6969369130103084,0.7684425696726271,0.9678675541130686,0.9693314955203308,0.9634601580649224
max,30.0,0.8237831864143116,0.5195560253699789,0.6345080465213748,0.967994861097394,0.9922668081989026,0.9799734960116178,0.8958890237558528,0.7559114167844407,0.8072407712664964,0.9587669879845172,0.9620342531006092,0.9578786199994064,0.9166666666666666,0.39568345323741,0.5527638190954773,0.9704433497536946,0.9981903727832068,0.9841213202497768,0.9435550082101808,0.6969369130103084,0.7684425696726271,0.9678675541130686,0.9693314955203308,0.9634601580649224
