,corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,15.0,0.6716666666666666,0.05787526427061309,0.10536912814070203,0.9394163852463632,0.9984222145808102,0.9680187966981935,0.8055415259565146,0.5281487394257118,0.5366939624194481,0.9222046384225068,0.9382478389693474,0.9128209710117428,0.0,0.0,0.0,0.95210199862164,1.0,0.9754633715798766,0.47605099931082,0.5,0.4877316857899383,0.9064982157793221,0.95210199862164,0.9287406256634042
std,9.092121131323903,0.0,7.053594135616508e-18,2.8214376542466034e-17,3.385725185095924e-16,2.2571501233972827e-16,3.385725185095924e-16,2.2571501233972827e-16,0.0,1.1285750616986414e-16,0.0,4.514300246794565e-16,3.385725185095924e-16,0.0,0.0,0.0,2.2571501233972827e-16,0.0,2.2571501233972827e-16,1.1285750616986414e-16,0.0,1.1285750616986414e-16,1.1285750616986414e-16,2.2571501233972827e-16,2.2571501233972827e-16
min,0.0,0.6716666666666666,0.0578752642706131,0.105369128140702,0.9394163852463628,0.9984222145808104,0.9680187966981938,0.8055415259565148,0.5281487394257118,0.536693962419448,0.9222046384225068,0.9382478389693478,0.9128209710117424,0.0,0.0,0.0,0.9521019986216402,1.0,0.9754633715798764,0.4760509993108201,0.5,0.4877316857899382,0.906498215779322,0.9521019986216402,0.928740625663404
25%,7.5,0.6716666666666666,0.0578752642706131,0.105369128140702,0.9394163852463628,0.9984222145808104,0.9680187966981938,0.8055415259565148,0.5281487394257118,0.536693962419448,0.9222046384225068,0.9382478389693478,0.9128209710117424,0.0,0.0,0.0,0.9521019986216402,1.0,0.9754633715798764,0.4760509993108201,0.5,0.4877316857899382,0.906498215779322,0.9521019986216402,0.928740625663404
50%,15.0,0.6716666666666666,0.0578752642706131,0.105369128140702,0.9394163852463628,0.9984222145808104,0.9680187966981938,0.8055415259565148,0.5281487394257118,0.536693962419448,0.9222046384225068,0.9382478389693478,0.9128209710117424,0.0,0.0,0.0,0.9521019986216402,1.0,0.9754633715798764,0.4760509993108201,0.5,0.4877316857899382,0.906498215779322,0.9521019986216402,0.928740625663404
75%,22.5,0.6716666666666666,0.0578752642706131,0.105369128140702,0.9394163852463628,0.9984222145808104,0.9680187966981938,0.8055415259565148,0.5281487394257118,0.536693962419448,0.9222046384225068,0.9382478389693478,0.9128209710117424,0.0,0.0,0.0,0.9521019986216402,1.0,0.9754633715798764,0.4760509993108201,0.5,0.4877316857899382,0.906498215779322,0.9521019986216402,0.928740625663404
max,30.0,0.6716666666666666,0.0578752642706131,0.105369128140702,0.9394163852463628,0.9984222145808104,0.9680187966981938,0.8055415259565148,0.5281487394257118,0.536693962419448,0.9222046384225068,0.9382478389693478,0.9128209710117424,0.0,0.0,0.0,0.9521019986216402,1.0,0.9754633715798764,0.4760509993108201,0.5,0.4877316857899382,0.906498215779322,0.9521019986216402,0.928740625663404
