observacion,valor
k-folds,"[0.975609756097561, 0.8536585365853658, 1.0, 0.8780487804878049, 0.9761904761904762, 0.9761904761904762, 0.9285714285714286, 0.9761904761904762, 0.9024390243902439, 0.8780487804878049]"
mean,0.9344947735191639
