fuente_del_archivo,corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
AdaBoost,15.0,0.6243217625972383,0.5427589852008456,0.5792540093726869,0.9690199682796544,0.97727485659894,0.9731207776272982,0.7966708654384468,0.7600169208998933,0.7761873934999923,0.9469831908084136,0.9494764580947967,0.9479297983836198,0.5500000000000002,0.4748201438848922,0.5096525096525096,0.9737598849748386,0.9804560260586322,0.977096483318305,0.761879942487419,0.727638084971762,0.7433744964854075,0.9534626334202196,0.956237077877326,0.954706851223354
ExtraTrees,15.0,0.8237831864143113,0.519556025369979,0.6345080465213749,0.9679948610973944,0.9922668081989026,0.9799734960116177,0.8958890237558528,0.7559114167844403,0.8072407712664964,0.9587669879845174,0.962034253100609,0.9578786199994062,0.916666666666667,0.39568345323741,0.5527638190954776,0.9704433497536944,0.9981903727832068,0.9841213202497768,0.9435550082101803,0.6969369130103084,0.7684425696726268,0.967867554113069,0.9693314955203304,0.9634601580649224
GradientBoosting,15.0,0.9362509296266102,0.764323467230444,0.8402062849706835,0.98411420524092,0.996369997159388,0.9901994595852236,0.960182567433765,0.8803467321949161,0.915202872277953,0.9810520224844064,0.981533566989765,0.9806092658232328,0.9622641509433966,0.733812949640288,0.83265306122449,0.9867668097281834,0.9985522982265648,0.9926245727648856,0.9745154803357896,0.8661826239334264,0.9126388169946872,0.9855931813439364,0.985871812543074,0.9849622570846256
KNN,15.0,0.4028919605323123,0.2543868921775898,0.3097728803934214,0.950305665923019,0.9744337464679236,0.9622063882469272,0.6765988132276661,0.6144103193227568,0.6359896343201745,0.9152798726102522,0.9283501437773682,0.9204517965949892,0.3953488372093025,0.2446043165467626,0.3022222222222221,0.9627130681818178,0.9811798769453488,0.9718587560494713,0.6790309526955599,0.6128920967460557,0.6370404891358465,0.9355374554646648,0.9458993797381116,0.9397845044292136
LGBM,15.0,0.9904514185001992,0.9192389006342492,0.953052673539923,0.9945084270739272,0.9993690851735016,0.996930802153575,0.9924799227870628,0.9593039929038758,0.9749917378467492,0.9942535835484166,0.9942384169631072,0.9941235952859344,0.9915254237288136,0.8417266187050357,0.9105058365758756,0.9920977011494254,0.9996380745566416,0.9958536145664324,0.99181156243912,0.9206823466308384,0.9531797255711538,0.992070290204744,0.9920744314266022,0.991765626578601
RandomForest,15.0,0.8837946349397963,0.558615221987315,0.6821782659024083,0.9706063055440834,0.9947904675048962,0.9825428189603976,0.9272004702419394,0.7767028447461053,0.8323605424314029,0.9650296851797212,0.966908699186281,0.9633347106831538,0.9487179487179488,0.5323741007194245,0.6820276497695849,0.9769830028328608,0.9985522982265648,0.9876499015571866,0.9628504757754048,0.7654631994729945,0.8348387756633857,0.9756291632319052,0.9762232942798076,0.9730112065198068
SVM,15.0,0.6716666666666666,0.057875264270613,0.105369128140702,0.9394163852463632,0.9984222145808102,0.9680187966981936,0.8055415259565146,0.5281487394257118,0.5366939624194481,0.9222046384225068,0.9382478389693474,0.9128209710117428,0.0,0.0,0.0,0.95210199862164,1.0,0.9754633715798766,0.47605099931082,0.5,0.4877316857899383,0.906498215779322,0.95210199862164,0.9287406256634042
XGBoost,15.0,0.919943707887554,0.8336152219873152,0.8736159315089123,0.9887177665738552,0.9949501896232952,0.991819663978188,0.9543307372307046,0.914282705805305,0.93271779774355,0.984328375760874,0.9846350502128258,0.9842658166497484,0.9262295081967208,0.8129496402877696,0.8659003831417627,0.9906474820143883,0.9967426710097724,0.9936857297492336,0.9584384951055546,0.9048461556487704,0.9297930564454978,0.9875619898156784,0.9879393521709164,0.9875650670412948
