observacion,valor
k-folds,"[0.9512195121951219, 0.8780487804878049, 0.8780487804878049, 0.8292682926829268, 0.9523809523809523, 0.9047619047619048, 0.9047619047619048, 0.9047619047619048, 0.8536585365853658, 0.8048780487804879]"
mean,0.8861788617886178
