observacion,valor
k-folds,"[0.6097560975609756, 0.3902439024390244, 0.6097560975609756, 0.5853658536585366, 0.47619047619047616, 0.5476190476190477, 0.42857142857142855, 0.5714285714285714, 0.5121951219512195, 0.5609756097560976]"
mean,0.5292102206736352
