observacion,valor
k-folds,"[0.975609756097561, 0.9024390243902439, 0.975609756097561, 0.9024390243902439, 0.9523809523809523, 0.9285714285714286, 0.9523809523809523, 0.9761904761904762, 0.8536585365853658, 0.9024390243902439]"
mean,0.9321718931475029
