mh,clasificador,best,avg,std
GWO,KNN,0.991,0.947,0.055
GWO,LightGBM,0.994,0.984,0.007
GWO,RandomForest,0.992,0.976,0.012
PSO,KNN,0.912,0.798,0.035
PSO,LightGBM,0.999,0.989,0.007
PSO,RandomForest,0.991,0.972,0.016
WOA,KNN,0.916,0.773,0.082
WOA,LightGBM,0.999,0.991,0.008
WOA,RandomForest,0.982,0.939,0.024
