mh,clasificador,best,avg,std
GWO,KNN,0.996,0.993,0.006
GWO,LightGBM,0.999,0.997,0.001
GWO,RandomForest,0.999,0.997,0.001
PSO,KNN,0.986,0.976,0.003
PSO,LightGBM,0.999,0.997,0.001
PSO,RandomForest,0.997,0.994,0.003
WOA,KNN,0.987,0.973,0.008
WOA,LightGBM,0.999,0.998,0.001
WOA,RandomForest,0.995,0.988,0.003
