mh,clasificador,best,avg,std
GWO,KNN,0.955,0.922,0.056
GWO,LightGBM,0.98,0.968,0.008
GWO,RandomForest,0.995,0.965,0.012
PSO,KNN,0.836,0.738,0.034
PSO,LightGBM,0.976,0.967,0.007
PSO,RandomForest,0.965,0.914,0.045
WOA,KNN,0.851,0.725,0.068
WOA,LightGBM,0.984,0.971,0.008
WOA,RandomForest,0.954,0.847,0.055
