mh,clasificador,best,avg,std
GWO,KNN,0.995,0.991,0.006
GWO,LightGBM,0.998,0.996,0.001
GWO,RandomForest,0.999,0.996,0.001
PSO,KNN,0.981,0.969,0.004
PSO,LightGBM,0.997,0.996,0.001
PSO,RandomForest,0.996,0.99,0.005
WOA,KNN,0.982,0.968,0.008
WOA,LightGBM,0.998,0.997,0.001
WOA,RandomForest,0.995,0.982,0.007
