observacion,valor
k-folds,"[0.5121951219512195, 0.6341463414634146, 0.6585365853658537, 0.4878048780487805, 0.5, 0.6428571428571429, 0.42857142857142855, 0.5, 0.5609756097560976, 0.5365853658536586]"
mean,0.5461672473867596
