class,metric,value
0,presicion,0.611764705882353
1,presicion,0.9700879765395894
macro avg,presicion,0.7909263412109713
weighted avg,presicion,0.9494693749319384
0,recall,0.5048543689320388
1,recall,0.980438648488441
macro avg,recall,0.7426465087102398
weighted avg,recall,0.9530726256983241
0,f1-score,0.5531914893617021
1,f1-score,0.9752358490566038
macro avg,f1-score,0.764213669209153
weighted avg,f1-score,0.9509506149512547
