class,metric,value
0,presicion,0.96875
1,presicion,0.9940968122786304
macro avg,presicion,0.9814234061393152
weighted avg,presicion,0.9926383085553349
0,recall,0.9029126213592233
1,recall,0.998221695317131
macro avg,recall,0.9505671583381772
weighted avg,recall,0.9927374301675977
0,f1-score,0.9346733668341709
1,f1-score,0.9961549837326235
macro avg,f1-score,0.9654141752833971
weighted avg,f1-score,0.9926172147155616
