observacion,valor
k-folds,"[0.8536585365853658, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8809523809523809, 0.8809523809523809, 0.8333333333333334, 0.8571428571428571, 0.7560975609756098, 0.7804878048780488]"
mean,0.8330429732868758
