observacion,valor
k-folds,"[0.43902439024390244, 0.3902439024390244, 0.4146341463414634, 0.5609756097560976, 0.38095238095238093, 0.5714285714285714, 0.42857142857142855, 0.42857142857142855, 0.4634146341463415, 0.4146341463414634]"
mean,0.44924506387921026
