observacion,valor
k-folds,"[0.4146341463414634, 0.5121951219512195, 0.36585365853658536, 0.43902439024390244, 0.3333333333333333, 0.40476190476190477, 0.42857142857142855, 0.42857142857142855, 0.4146341463414634, 0.3902439024390244]"
mean,0.41318234610917537
