class,metric,value
0,presicion,0.05795454545454545
1,presicion,0.9666666666666667
macro avg,presicion,0.5123106060606061
weighted avg,presicion,0.9143776451667512
0,recall,0.9902912621359223
1,recall,0.017190278601066984
macro avg,recall,0.5037407703684946
weighted avg,recall,0.07318435754189945
0,f1-score,0.10950080515297907
1,f1-score,0.0337798485730926
macro avg,f1-score,0.07164032686303584
weighted avg,f1-score,0.038136976242214564
