metric,value
Accuracy,0.07318435754189945
Precision,0.9666666666666667
Recall,0.017190278601066984
F1 Score,0.0337798485730926
Cohen's Kappa,0.0008747699523251606
Matthews CorrCoef,0.013572199581457072
