observacion,valor
k-folds,"[0.4878048780487805, 0.5609756097560976, 0.6829268292682927, 0.5609756097560976, 0.6190476190476191, 0.6428571428571429, 0.5, 0.5476190476190477, 0.4878048780487805, 0.5609756097560976]"
mean,0.5650987224157955
