observacion,valor
k-folds,"[1.0, 0.9024390243902439, 0.926829268292683, 0.9512195121951219, 0.9761904761904762, 0.9761904761904762, 0.9285714285714286, 0.9761904761904762, 0.8780487804878049, 0.8780487804878049]"
mean,0.9393728222996517
