observacion,valor
k-folds,"[0.5121951219512195, 0.4878048780487805, 0.5853658536585366, 0.6097560975609756, 0.5238095238095238, 0.6428571428571429, 0.42857142857142855, 0.5476190476190477, 0.43902439024390244, 0.5365853658536586]"
mean,0.5313588850174217
