metric,value
Accuracy,0.08994413407821229
Precision,0.9833333333333333
Recall,0.034973325429756966
F1 Score,0.06754436176302232
Cohen's Kappa,0.0030020275653145356
Matthews CorrCoef,0.03268810089922922
