class,metric,value
0,presicion,0.058959537572254334
1,presicion,0.9833333333333333
macro avg,presicion,0.5211464354527938
weighted avg,presicion,0.9301431093314388
0,recall,0.9902912621359223
1,recall,0.034973325429756966
macro avg,recall,0.5126322937828397
weighted avg,recall,0.08994413407821229
0,f1-score,0.11129296235679215
1,f1-score,0.06754436176302232
macro avg,f1-score,0.08941866205990723
weighted avg,f1-score,0.07006173933908841
