class,metric,value
0,presicion,0.98989898989899
1,presicion,0.997043169722058
macro avg,presicion,0.993471079810524
weighted avg,presicion,0.9966320800450882
0,recall,0.9514563106796117
1,recall,0.999407231772377
macro avg,recall,0.9754317712259943
weighted avg,recall,0.9966480446927374
0,f1-score,0.9702970297029703
1,f1-score,0.9982238010657194
macro avg,f1-score,0.9842604153843448
weighted avg,f1-score,0.9966168415962426
