solucion,valor
continua,"[0.6032946534709129, 0.6214471480704818, 0.4407422542042271, 0.7241351185564701, 0.9819463948893877, 0.9335590316464838, 0.4457992578966081, 0.2352345615542514, 0.30780694402871905, 0.6972810282014877, 0.14138599515353165, 0.20541544108902457, 0.6798749884154978, 0.9091242994055465, 0.5046243027055681, 0.9248848884134135, 0.00034921331302313223, 0.168124880850578, 0.6483196110447693, 0.6405760116231011, 0.7084049251690003, 0.8228473459845745, 0.30973183728321574, 0.034906347993778127, 0.7944797713063533, 0.06601406050385222, 0.3642112351102941, 0.1714345778555684, 0.8573041828521746, 0.7564966277171636, 0.21562351936079474, 0.4993209889296519, 0.17523984900558812, 0.4047932680112409, 0.00010578139349802064, 0.3059467841186236, 0.971073176450281, 0.6108657841341117, 1.982885149735564e-05, 0.7082981995463313, 0.7337703636738134, 0.5278480176765207, 0.828672117709933, 0.8400457063718206, 0.6750812005380471, 0.00036227298352653703, 0.0003362679123877794, 0.31155363950167714, 0.5852247045320118, 0.4652347452239001, 0.1984342936188992, 0.8626764111669565, 0.86119470794411, 0.7376053891073749, 0.5096097837392255, 0.0036160439823893905, 0.1773756467801299, 0.6886369469238998, 0.7636468961936782, 0.8338056721671411, 0.812314847766552, 0.7068968522459464, 0.7309876078975446, 0.44116002734669457, 0.6142506898274745, 0.35898508407310237, 0.742262129156865, 0.02252706198650428, 0.5204753250462323, 0.9374607196238366, 0.8920089859497201, 0.7969302571584382, 0.23177907281591253, 1.987905366598849e-05, 0.025549281592426018, 0.4787476931398683]"
binaria,"[True, True, False, True, True, True, False, False, False, True, False, False, True, True, True, True, False, False, True, True, True, True, False, False, True, False, False, False, True, True, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, False, False, False, True, False, False, True, True, True, True, False, False, True, True, True, True, True, True, False, True, False, True, False, True, True, True, True, False, False, False, False]"
