observacion,valor
k-folds,"[0.8536585365853658, 0.8536585365853658, 0.975609756097561, 0.9024390243902439, 0.9047619047619048, 0.9761904761904762, 0.9047619047619048, 0.9761904761904762, 0.8780487804878049, 0.8048780487804879]"
mean,0.9030197444831591
