class,metric,value
0,presicion,0.9591836734693877
1,presicion,0.9946808510638298
macro avg,presicion,0.9769322622666088
weighted avg,presicion,0.992638276040239
0,recall,0.912621359223301
1,recall,0.997628927089508
macro avg,recall,0.9551251431564045
weighted avg,recall,0.9927374301675977
0,f1-score,0.9353233830845771
1,f1-score,0.996152707901746
macro avg,f1-score,0.9657380454931616
weighted avg,f1-score,0.9926524730100319
