mh,clasificador,metric,value
GWO,LightGBM,f1-score,0.96
GWO,LightGBM,presicion,0.9797979797979798
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.9603960396039604
GWO,LightGBM,presicion,0.9894736842105264
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9494949494949496
GWO,LightGBM,presicion,0.9696969696969696
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9504950495049505
GWO,LightGBM,presicion,0.9702970297029704
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9607843137254902
GWO,LightGBM,presicion,0.9791666666666666
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9447236180904522
GWO,LightGBM,presicion,0.9897959183673468
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.965174129353234
GWO,LightGBM,presicion,0.9696969696969696
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9504950495049505
GWO,LightGBM,presicion,0.9607843137254902
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9560975609756096
GWO,LightGBM,presicion,0.95
GWO,LightGBM,recall,0.9223300970873788
GWO,LightGBM,f1-score,0.9359605911330048
GWO,LightGBM,presicion,0.9894736842105264
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9494949494949496
GWO,LightGBM,presicion,0.9611650485436892
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9611650485436892
GWO,LightGBM,presicion,0.9702970297029704
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9607843137254902
GWO,LightGBM,presicion,0.9705882352941176
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9658536585365852
GWO,LightGBM,presicion,0.9896907216494846
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.96
GWO,LightGBM,presicion,0.9896907216494846
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.96
GWO,LightGBM,presicion,0.9801980198019802
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9705882352941176
GWO,LightGBM,presicion,0.9519230769230768
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9565217391304348
GWO,RandomForest,presicion,0.9504950495049505
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9411764705882352
GWO,RandomForest,presicion,0.9693877551020408
GWO,RandomForest,recall,0.9223300970873788
GWO,RandomForest,f1-score,0.945273631840796
GWO,RandomForest,presicion,0.9423076923076924
GWO,RandomForest,recall,0.9514563106796116
GWO,RandomForest,f1-score,0.9468599033816424
GWO,RandomForest,presicion,0.9603960396039604
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.9509803921568628
GWO,RandomForest,presicion,0.941747572815534
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.941747572815534
GWO,RandomForest,presicion,0.9696969696969696
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9504950495049505
GWO,RandomForest,presicion,0.9509803921568628
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.946341463414634
GWO,RandomForest,presicion,0.8828828828828829
GWO,RandomForest,recall,0.9514563106796116
GWO,RandomForest,f1-score,0.9158878504672896
GWO,RandomForest,presicion,0.9405940594059404
GWO,RandomForest,recall,0.9223300970873788
GWO,RandomForest,f1-score,0.931372549019608
GWO,RandomForest,presicion,0.9504950495049505
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9411764705882352
GWO,RandomForest,presicion,0.941747572815534
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.941747572815534
GWO,RandomForest,presicion,0.9895833333333334
GWO,RandomForest,recall,0.9223300970873788
GWO,RandomForest,f1-score,0.9547738693467336
GWO,RandomForest,presicion,0.9705882352941176
GWO,RandomForest,recall,0.9611650485436892
GWO,RandomForest,f1-score,0.9658536585365852
GWO,RandomForest,presicion,0.931372549019608
GWO,RandomForest,recall,0.9223300970873788
GWO,RandomForest,f1-score,0.926829268292683
GWO,RandomForest,presicion,0.9504950495049505
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9411764705882352
GWO,RandomForest,presicion,0.94
GWO,RandomForest,recall,0.912621359223301
GWO,RandomForest,f1-score,0.9261083743842364
GWO,RandomForest,presicion,0.9690721649484536
GWO,RandomForest,recall,0.912621359223301
GWO,RandomForest,f1-score,0.94
GWO,RandomForest,presicion,0.9504950495049505
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9411764705882352
GWO,RandomForest,presicion,0.9583333333333334
GWO,RandomForest,recall,0.8932038834951457
GWO,RandomForest,f1-score,0.9246231155778896
GWO,RandomForest,presicion,0.9047619047619048
GWO,RandomForest,recall,0.9223300970873788
GWO,RandomForest,f1-score,0.9134615384615384
GWO,RandomForest,presicion,0.9603960396039604
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.9509803921568628
GWO,RandomForest,presicion,0.961904761904762
GWO,RandomForest,recall,0.9805825242718448
GWO,RandomForest,f1-score,0.971153846153846
GWO,RandomForest,presicion,0.96
GWO,RandomForest,recall,0.9320388349514565
GWO,RandomForest,f1-score,0.9458128078817734
GWO,RandomForest,presicion,0.9807692307692308
GWO,RandomForest,recall,0.9902912621359224
GWO,RandomForest,f1-score,0.9855072463768116
GWO,RandomForest,presicion,0.9893617021276596
GWO,RandomForest,recall,0.9029126213592232
GWO,RandomForest,f1-score,0.9441624365482234
GWO,RandomForest,presicion,0.9326923076923076
GWO,RandomForest,recall,0.941747572815534
GWO,RandomForest,f1-score,0.9371980676328504
GWO,RandomForest,presicion,0.9439252336448598
GWO,RandomForest,recall,0.9805825242718448
GWO,RandomForest,f1-score,0.961904761904762
GWO,RandomForest,presicion,0.9894736842105264
GWO,RandomForest,recall,0.912621359223301
GWO,RandomForest,f1-score,0.9494949494949496
GWO,RandomForest,presicion,0.9789473684210528
GWO,RandomForest,recall,0.9029126213592232
GWO,RandomForest,f1-score,0.9393939393939394
GWO,RandomForest,presicion,0.9591836734693876
GWO,RandomForest,recall,0.912621359223301
GWO,RandomForest,f1-score,0.9353233830845772
GWO,RandomForest,presicion,0.9891304347826086
GWO,RandomForest,recall,0.883495145631068
GWO,RandomForest,f1-score,0.9333333333333332
PSO,KNN,presicion,0.5888888888888889
PSO,KNN,recall,0.5145631067961165
PSO,KNN,f1-score,0.5492227979274611
PSO,KNN,presicion,0.6049382716049383
PSO,KNN,recall,0.4757281553398058
PSO,KNN,f1-score,0.532608695652174
PSO,KNN,presicion,0.6986301369863014
PSO,KNN,recall,0.4951456310679611
PSO,KNN,f1-score,0.5795454545454546
PSO,KNN,presicion,0.611764705882353
PSO,KNN,recall,0.5048543689320388
PSO,KNN,f1-score,0.5531914893617021
PSO,KNN,presicion,0.5813953488372093
PSO,KNN,recall,0.4854368932038835
PSO,KNN,f1-score,0.5291005291005291
PSO,KNN,presicion,0.7380952380952381
PSO,KNN,recall,0.6019417475728155
PSO,KNN,f1-score,0.6631016042780749
PSO,KNN,presicion,0.6428571428571429
PSO,KNN,recall,0.5242718446601942
PSO,KNN,f1-score,0.5775401069518716
PSO,KNN,presicion,0.575
PSO,KNN,recall,0.4466019417475728
PSO,KNN,f1-score,0.5027322404371585
PSO,KNN,presicion,0.6506024096385542
PSO,KNN,recall,0.5242718446601942
PSO,KNN,f1-score,0.5806451612903226
PSO,KNN,presicion,0.5
PSO,KNN,recall,0.3398058252427184
PSO,KNN,f1-score,0.4046242774566474
PSO,KNN,presicion,0.6904761904761905
PSO,KNN,recall,0.5631067961165048
PSO,KNN,f1-score,0.6203208556149733
PSO,KNN,presicion,0.6881720430107527
PSO,KNN,recall,0.6213592233009708
PSO,KNN,f1-score,0.6530612244897959
PSO,KNN,presicion,0.6911764705882353
PSO,KNN,recall,0.4563106796116505
PSO,KNN,f1-score,0.5497076023391813
PSO,KNN,presicion,0.6111111111111112
PSO,KNN,recall,0.5339805825242718
PSO,KNN,f1-score,0.5699481865284974
PSO,KNN,presicion,0.671875
PSO,KNN,recall,0.4174757281553398
PSO,KNN,f1-score,0.5149700598802395
PSO,KNN,presicion,0.5402298850574713
PSO,KNN,recall,0.4563106796116505
PSO,KNN,f1-score,0.4947368421052631
PSO,KNN,presicion,0.5308641975308642
PSO,KNN,recall,0.4174757281553398
PSO,KNN,f1-score,0.4673913043478261
PSO,KNN,presicion,0.676056338028169
PSO,KNN,recall,0.4660194174757281
PSO,KNN,f1-score,0.5517241379310345
PSO,KNN,presicion,0.6206896551724138
PSO,KNN,recall,0.5242718446601942
PSO,KNN,f1-score,0.5684210526315789
PSO,KNN,presicion,0.5487804878048781
PSO,KNN,recall,0.4368932038834951
PSO,KNN,f1-score,0.4864864864864865
PSO,KNN,presicion,0.6052631578947368
PSO,KNN,recall,0.4466019417475728
PSO,KNN,f1-score,0.5139664804469274
PSO,KNN,presicion,0.6338028169014085
PSO,KNN,recall,0.4368932038834951
PSO,KNN,f1-score,0.5172413793103449
PSO,KNN,presicion,0.6197183098591549
PSO,KNN,recall,0.4271844660194174
PSO,KNN,f1-score,0.5057471264367817
PSO,KNN,presicion,0.5542168674698795
PSO,KNN,recall,0.4466019417475728
PSO,KNN,f1-score,0.4946236559139785
PSO,KNN,presicion,0.5875
PSO,KNN,recall,0.4563106796116505
PSO,KNN,f1-score,0.5136612021857924
PSO,KNN,presicion,0.6333333333333333
PSO,KNN,recall,0.5533980582524272
PSO,KNN,f1-score,0.5906735751295337
PSO,KNN,presicion,0.6219512195121951
PSO,KNN,recall,0.4951456310679611
PSO,KNN,f1-score,0.5513513513513514
PSO,KNN,presicion,0.6506024096385542
PSO,KNN,recall,0.5242718446601942
PSO,KNN,f1-score,0.5806451612903226
PSO,KNN,presicion,0.8433734939759037
PSO,KNN,recall,0.6796116504854369
PSO,KNN,f1-score,0.7526881720430108
PSO,KNN,presicion,0.6046511627906976
PSO,KNN,recall,0.5048543689320388
PSO,KNN,f1-score,0.5502645502645502
PSO,KNN,presicion,0.6309523809523809
PSO,KNN,recall,0.5145631067961165
PSO,KNN,f1-score,0.5668449197860963
PSO,LightGBM,presicion,0.98
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9655172413793104
PSO,LightGBM,presicion,0.97
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.955665024630542
PSO,LightGBM,presicion,0.9693877551020408
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.945273631840796
PSO,LightGBM,presicion,0.9894736842105264
PSO,LightGBM,recall,0.912621359223301
PSO,LightGBM,f1-score,0.9494949494949496
PSO,LightGBM,presicion,0.979381443298969
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.95
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.964824120603015
PSO,LightGBM,presicion,0.979381443298969
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.95
PSO,LightGBM,presicion,0.9897959183673468
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.965174129353234
PSO,LightGBM,presicion,0.9696969696969696
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9504950495049505
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.97
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.9595959595959596
PSO,LightGBM,presicion,0.97
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.955665024630542
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.964824120603015
PSO,LightGBM,presicion,0.98
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9655172413793104
PSO,LightGBM,presicion,0.979381443298969
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.95
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.964824120603015
PSO,LightGBM,presicion,0.98
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9655172413793104
PSO,LightGBM,presicion,0.97
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.955665024630542
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9751243781094528
PSO,LightGBM,presicion,0.968421052631579
PSO,LightGBM,recall,0.8932038834951457
PSO,LightGBM,f1-score,0.9292929292929292
PSO,LightGBM,presicion,0.96
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9458128078817734
PSO,LightGBM,presicion,0.979591836734694
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9552238805970148
PSO,LightGBM,presicion,1.0
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9751243781094528
PSO,LightGBM,presicion,0.9895833333333334
PSO,LightGBM,recall,0.9223300970873788
PSO,LightGBM,f1-score,0.9547738693467336
PSO,LightGBM,presicion,0.979591836734694
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9552238805970148
PSO,LightGBM,presicion,0.9797979797979798
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.9603960396039604
PSO,LightGBM,presicion,0.98989898989899
PSO,LightGBM,recall,0.9514563106796116
PSO,LightGBM,f1-score,0.9702970297029704
PSO,LightGBM,presicion,0.9696969696969696
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9504950495049505
PSO,LightGBM,presicion,0.9897959183673468
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.965174129353234
PSO,LightGBM,presicion,0.97
