tipo,mh,clasificador,metric,best,avg,std
0,GWO,KNN,presicion,0.9891304347826086,0.9025809108609858,0.10464646461351178
0,GWO,KNN,recall,0.912621359223301,0.8487316003758221,0.10737630554962278
0,GWO,KNN,f1-score,0.94,0.8738900119469731,0.10353468977864326
0,GWO,LightGBM,presicion,0.99,0.9723055407300429,0.01406505223691826
0,GWO,LightGBM,recall,0.9611650485436892,0.9370497964296897,0.01542660456667516
0,GWO,LightGBM,f1-score,0.9753694581280788,0.9542176962135298,0.009328212880359501
0,GWO,RandomForest,presicion,0.9895833333333334,0.9552005513588492,0.023759481949969564
0,GWO,RandomForest,recall,0.9902912621359224,0.9323520200438461,0.024366658949380685
0,GWO,RandomForest,f1-score,0.9855072463768116,0.9432686082687544,0.01498176442632208
0,PSO,KNN,presicion,0.8433734939759037,0.6273215701257728,0.06738916133800588
0,PSO,KNN,recall,0.6796116504854369,0.4932665205136235,0.06723698093671432
0,PSO,KNN,f1-score,0.7526881720430108,0.5511866994682245,0.06417734907599616
0,PSO,LightGBM,presicion,1.0,0.9817216652894943,0.013304978404767421
0,PSO,LightGBM,recall,0.9514563106796116,0.934544315690573,0.013257018049847009
0,PSO,LightGBM,f1-score,0.9751243781094528,0.9574784757079597,0.010224090156204135
0,PSO,RandomForest,presicion,0.989247311827957,0.9551652585441176,0.027735695705886795
0,PSO,RandomForest,recall,0.9320388349514565,0.829940494832446,0.08982098945677612
0,PSO,RandomForest,f1-score,0.9458128078817734,0.8863085784902098,0.06428875432864414
0,WOA,KNN,presicion,0.8488372093023255,0.5780466900599348,0.1607407973999952
0,WOA,KNN,recall,0.7087378640776699,0.471656749138741,0.1431234855998715
0,WOA,KNN,f1-score,0.7724867724867724,0.5081255068597446,0.1327448470680548
0,WOA,LightGBM,presicion,1.0,0.986157123792946,0.015383687388879068
0,WOA,LightGBM,recall,0.970873786407767,0.9433134982774818,0.01526810784978434
0,WOA,LightGBM,f1-score,0.9753694581280788,0.9641431929973086,0.010974478614000858
0,WOA,RandomForest,presicion,0.9850746268656716,0.8958096410219958,0.04976768708927333
0,WOA,RandomForest,recall,0.912621359223301,0.6993423113059819,0.1113612087912016
0,WOA,RandomForest,f1-score,0.9215686274509804,0.7788263223082088,0.06066354123303275
1,GWO,KNN,presicion,0.9946839929119904,0.9908110016677427,0.006472272483288131
1,GWO,KNN,recall,0.999407231772377,0.994416505726906,0.00568928679013409
1,GWO,KNN,f1-score,0.9964497041420118,0.9926064050905424,0.00574915622669479
1,GWO,LightGBM,presicion,0.9976331360946744,0.9961660350332276,0.0009354169289357
1,GWO,LightGBM,recall,0.999407231772377,0.9983555462072394,0.0008618569733408559
1,GWO,LightGBM,f1-score,0.9985193959135328,0.9972591038513149,0.0005562675628165514
1,GWO,RandomForest,presicion,0.9994068801897984,0.9958782726238619,0.0014778709469742946
1,GWO,RandomForest,recall,0.999407231772377,0.997284739086372,0.001536434157060105
1,GWO,RandomForest,f1-score,0.9991105840498072,0.996579620560176,0.0009182454663448037
1,PSO,KNN,presicion,0.9806678383128296,0.9694686754723021,0.003973334132958856
1,PSO,KNN,recall,0.992294013040901,0.9820831022812017,0.003656342800965616
1,PSO,KNN,f1-score,0.986446670595168,0.9757309579281878,0.003225512995543644
1,PSO,LightGBM,presicion,0.9970449172576832,0.9960157832040873,0.0008038139157898477
1,PSO,LightGBM,recall,1.0,0.9989291928791326,0.0007866841349509714
1,PSO,LightGBM,f1-score,0.9985202722699024,0.9974701026417591,0.0006056253105756335
1,PSO,RandomForest,presicion,0.9958579881656804,0.9897246108982692,0.005351302443276075
1,PSO,RandomForest,recall,0.999407231772377,0.9977054133124271,0.001221945710247422
1,PSO,RandomForest,f1-score,0.9967465246968352,0.9936935336371787,0.0031157787370146317
1,WOA,KNN,presicion,0.9823943661971832,0.96819509260444,0.008035265112421646
1,WOA,KNN,recall,1.0,0.97799108935503,0.017663261147347887
1,WOA,KNN,f1-score,0.9873193748156884,0.9729432574849175,0.008106028159207862
1,WOA,LightGBM,presicion,0.9982195845697328,0.9965489388729464,0.0009265981296056258
1,WOA,LightGBM,recall,1.0,0.9991777731036197,0.0009269123599399289
1,WOA,LightGBM,f1-score,0.9985202722699024,0.9978612090270408,0.0006562748028833218
1,WOA,RandomForest,presicion,0.994671403197158,0.9819370252794299,0.006592199669690752
1,WOA,RandomForest,recall,0.999407231772377,0.9946842075071228,0.003568063853897556
1,WOA,RandomForest,f1-score,0.995260663507109,0.9882481994039681,0.002562949439551751
macro,GWO,KNN,presicion,0.9910316484867108,0.9466959562643642,0.055164698443593035
macro,GWO,KNN,recall,0.955421527270216,0.9215740530513641,0.05593492148903265
macro,GWO,KNN,f1-score,0.968224852071006,0.9332482085187578,0.054633446601850565
macro,GWO,LightGBM,presicion,0.9938165680473372,0.9842357878816353,0.006949256882295812
macro,GWO,LightGBM,recall,0.9802861401580332,0.967702671318465,0.007621500409846073
macro,GWO,LightGBM,f1-score,0.9869444270208058,0.9757384000324223,0.004941705612971257
macro,GWO,RandomForest,presicion,0.9924303915781189,0.9755394119913556,0.011729154779832635
macro,GWO,RandomForest,recall,0.9945528628403382,0.9648183795651091,0.012003819167064464
macro,GWO,RandomForest,f1-score,0.9923089152133096,0.9699241144144651,0.007948298655885283
macro,PSO,KNN,presicion,0.9120206661443666,0.7983951227990375,0.0352361070616063
macro,PSO,KNN,recall,0.835952831763169,0.7376748113974125,0.0343948302278098
macro,PSO,KNN,f1-score,0.8695674213190894,0.7634588286982062,0.033633247558881016
macro,PSO,LightGBM,presicion,0.9985224586288416,0.988868724246791,0.006736185974082229
macro,PSO,LightGBM,recall,0.9757281553398058,0.9667367542848531,0.00670093313107876
macro,PSO,LightGBM,f1-score,0.9868223251896776,0.9774742891748593,0.005414593315698517
macro,PSO,RandomForest,presicion,0.9913826423606492,0.9724449347211935,0.016003025454497513
macro,PSO,RandomForest,recall,0.9648338810204822,0.9138229540724365,0.04528795586135964
macro,PSO,RandomForest,f1-score,0.9712777394457728,0.9400010560636941,0.03369870985341651
macro,WOA,KNN,presicion,0.9156157877497544,0.7731208913321874,0.08248516247416086
macro,WOA,KNN,recall,0.8505159385592855,0.7248239192468854,0.0678686349515137
macro,WOA,KNN,f1-score,0.8799030736512305,0.740534382172331,0.06854200886514004
macro,WOA,LightGBM,presicion,0.9985224586288416,0.9913530313329462,0.007714528476788487
macro,WOA,LightGBM,recall,0.983954972634826,0.9712456356905509,0.007647704410682783
macro,WOA,LightGBM,f1-score,0.9869444270208058,0.9810022010121746,0.005815085357561802
macro,WOA,RandomForest,presicion,0.9818002269557607,0.938873333150713,0.023590642125279313
macro,WOA,RandomForest,recall,0.95423599081497,0.8470132594065523,0.054533707552491706
macro,WOA,RandomForest,f1-score,0.9584146454790446,0.8835372608560883,0.03158118041725494
weighted,GWO,KNN,presicion,0.9932102396828036,0.9857340746548399,0.01172386241246984
weighted,GWO,KNN,recall,0.9932960893854748,0.9860335195530724,0.010890273010959723
weighted,GWO,KNN,f1-score,0.9932014809427788,0.9857752383342366,0.011367086859330399
weighted,GWO,LightGBM,presicion,0.9971939109450928,0.9947930568694131,0.0010640545969413185
weighted,GWO,LightGBM,recall,0.9972067039106144,0.9948278969183637,0.0010498012099201786
weighted,GWO,LightGBM,f1-score,0.9971873045214088,0.9947824195012076,0.001060481665894029
weighted,GWO,RandomForest,presicion,0.998334434441017,0.9935375992773275,0.0017086473490718697
weighted,GWO,RandomForest,recall,0.9983240223463687,0.9935483870967741,0.0017299726163195722
weighted,GWO,RandomForest,f1-score,0.9983278221613612,0.9935120036517869,0.0017257830214987818
weighted,PSO,KNN,presicion,0.9727676609571292,0.9497808811423063,0.007159128640270941
weighted,PSO,KNN,recall,0.9743016759776536,0.9539556676878717,0.006129613068829949
weighted,PSO,KNN,f1-score,0.972995762577921,0.9513018748994859,0.006658426369638383
weighted,PSO,LightGBM,presicion,0.9972149583316824,0.9951932725084431,0.0011696472712681891
weighted,PSO,LightGBM,recall,0.9972067039106144,0.9952243647504055,0.0011434441813804098
weighted,PSO,LightGBM,f1-score,0.9971740280807816,0.9951689084662386,0.0011588220651330774
weighted,PSO,RandomForest,presicion,0.993794651416482,0.9877360001203488,0.0063454768902004525
