mh,clasificador,metric,value
GWO,LightGBM,recall,0.9557179113840276
GWO,LightGBM,f1-score,0.9707350713936438
GWO,LightGBM,presicion,0.9931249095382836
GWO,LightGBM,recall,0.9705774022939556
GWO,LightGBM,f1-score,0.9815512552655484
GWO,LightGBM,presicion,0.9827787036539256
GWO,LightGBM,recall,0.9651302651342936
GWO,LightGBM,f1-score,0.973767358973908
GWO,LightGBM,presicion,0.9789111142087168
GWO,LightGBM,recall,0.9745426188845598
GWO,LightGBM,f1-score,0.9767154471544716
GWO,LightGBM,presicion,0.9726331360946744
GWO,LightGBM,recall,0.9596831279746318
GWO,LightGBM,f1-score,0.966055510254095
GWO,LightGBM,presicion,0.992081974848626
GWO,LightGBM,recall,0.956014295497839
GWO,LightGBM,f1-score,0.9732690596085036
GWO,LightGBM,presicion,0.9793969878165988
GWO,LightGBM,recall,0.9793969878165988
GWO,LightGBM,f1-score,0.9793969878165988
GWO,LightGBM,presicion,0.983668349072918
GWO,LightGBM,recall,0.9748390029983712
GWO,LightGBM,f1-score,0.9792073227395224
GWO,LightGBM,presicion,0.984109283523836
GWO,LightGBM,recall,0.9796933719304102
GWO,LightGBM,f1-score,0.9818897922312556
GWO,LightGBM,presicion,0.9927780247349608
GWO,LightGBM,recall,0.9657230333619168
GWO,LightGBM,f1-score,0.9788165680473372
GWO,LightGBM,presicion,0.9927780247349608
GWO,LightGBM,recall,0.9657230333619168
GWO,LightGBM,f1-score,0.9788165680473372
GWO,LightGBM,presicion,0.9889148772781364
GWO,LightGBM,recall,0.9799897560442216
GWO,LightGBM,f1-score,0.9844054920546418
GWO,LightGBM,presicion,0.9747752988411352
GWO,LightGBM,recall,0.9791006037027872
GWO,LightGBM,f1-score,0.9769267456399284
GWO,RandomForest,presicion,0.9731752926624812
GWO,RandomForest,recall,0.9645374969066708
GWO,RandomForest,f1-score,0.9688109841092836
GWO,RandomForest,presicion,0.982329811357167
GWO,RandomForest,recall,0.9602758962022548
GWO,RandomForest,f1-score,0.9710091154172906
GWO,RandomForest,presicion,0.969671046628342
GWO,RandomForest,recall,0.9739498506569368
GWO,RandomForest,f1-score,0.9717993557821346
GWO,RandomForest,presicion,0.9784218208676996
GWO,RandomForest,recall,0.969688249952521
GWO,RandomForest,f1-score,0.9740091534244028
GWO,RandomForest,presicion,0.969095481724898
GWO,RandomForest,recall,0.969095481724898
GWO,RandomForest,f1-score,0.969095481724898
GWO,RandomForest,presicion,0.9827787036539256
GWO,RandomForest,recall,0.9651302651342936
GWO,RandomForest,f1-score,0.973767358973908
GWO,RandomForest,presicion,0.9737129448935972
GWO,RandomForest,recall,0.9693918658387096
GWO,RandomForest,f1-score,0.9715411020776874
GWO,RandomForest,presicion,0.9399524599048124
GWO,RandomForest,recall,0.9718751618602564
GWO,RandomForest,f1-score,0.9552701284422008
GWO,RandomForest,presicion,0.9679287644572628
GWO,RandomForest,recall,0.9593867438608203
GWO,RandomForest,f1-score,0.963612814794164
GWO,RandomForest,presicion,0.9731752926624812
GWO,RandomForest,recall,0.9645374969066708
GWO,RandomForest,f1-score,0.9688109841092836
GWO,RandomForest,presicion,0.969095481724898
GWO,RandomForest,recall,0.969095481724898
GWO,RandomForest,f1-score,0.969095481724898
GWO,RandomForest,presicion,0.9924303915781189
GWO,RandomForest,recall,0.9608686644298778
GWO,RandomForest,f1-score,0.9760559675038905
GWO,RandomForest,presicion,0.984109283523836
GWO,RandomForest,recall,0.9796933719304102
