observacion,valor
k-folds,"[0.5121951219512195, 0.5853658536585366, 0.6097560975609756, 0.6097560975609756, 0.40476190476190477, 0.5, 0.47619047619047616, 0.5476190476190477, 0.4634146341463415, 0.5121951219512195]"
mean,0.5221254355400697
