observacion,valor
k-folds,"[0.36585365853658536, 0.34146341463414637, 0.43902439024390244, 0.4634146341463415, 0.35714285714285715, 0.42857142857142855, 0.40476190476190477, 0.35714285714285715, 0.34146341463414637, 0.4878048780487805]"
mean,0.398664343786295
