observacion,valor
k-folds,"[1.0, 0.926829268292683, 0.9512195121951219, 0.975609756097561, 0.9761904761904762, 0.9047619047619048, 0.9523809523809523, 0.9761904761904762, 0.9512195121951219, 0.8536585365853658]"
mean,0.9468060394889664
