class,metric,value
0,presicion,0.7981651376146789
1,presicion,0.9904818560380726
macro avg,presicion,0.8943234968263758
weighted avg,presicion,0.979415586765665
0,recall,0.8446601941747572
1,recall,0.9869590989922941
macro avg,recall,0.9158096465835257
weighted avg,recall,0.9787709497206704
0,f1-score,0.8207547169811321
1,f1-score,0.9887173396674585
macro avg,f1-score,0.9047360283242953
weighted avg,f1-score,0.979052451322938
