observacion,valor
k-folds,"[0.975609756097561, 0.8292682926829268, 0.9024390243902439, 0.8780487804878049, 0.9285714285714286, 0.9047619047619048, 0.8571428571428571, 0.8809523809523809, 0.8048780487804879, 0.7804878048780488]"
mean,0.8742160278745645
