observacion,valor
k-folds,"[0.5121951219512195, 0.5121951219512195, 0.5365853658536586, 0.43902439024390244, 0.5, 0.40476190476190477, 0.30952380952380953, 0.4523809523809524, 0.3170731707317073, 0.5365853658536586]"
mean,0.4520325203252032
