metric,fold,avg
mcc,"[0.446434100389823, 0.2784798888617325, 0.418053207798719, 0.4459312088030855, 0.37080597211725425, 0.5500589772400746, 0.45989807473111144, 0.4488371940892088, 0.40403817464142305, 0.5047080632776965]",0.43272448619501286
f1,"[0.9728539985326485, 0.9639970609845702, 0.9690265486725663, 0.9705014749262537, 0.9684055841293167, 0.9764359351988218, 0.9736070381231672, 0.9736456808199122, 0.9674556213017751, 0.9726128793486306]",0.9708541822037663
accuracy,"[0.9483240223463687, 0.9315642458100558, 0.9413407821229051, 0.9441340782122905, 0.9399441340782123, 0.9553072625698324, 0.9497206703910615, 0.9497206703910615, 0.9384615384615385, 0.9482517482517483]",0.9446769152635074
precision,"[0.9636627906976745, 0.956268221574344, 0.9647577092511013, 0.9662261380323054, 0.9592430858806404, 0.9692982456140351, 0.9623188405797102, 0.9609826589595376, 0.9646017699115044, 0.9704579025110783]",0.9637817363011931
recall,"[0.9822222222222222, 0.9718518518518519, 0.9733333333333334, 0.9748148148148148, 0.9777448071216617, 0.983679525222552, 0.9851632047477745, 0.9866468842729971, 0.9703264094955489, 0.9747774480712166]",0.9780560501153973
