observacion,valor
k-folds,"[0.926829268292683, 0.8536585365853658, 0.9024390243902439, 0.9024390243902439, 0.9047619047619048, 0.9047619047619048, 0.7619047619047619, 0.9047619047619048, 0.6585365853658537, 0.8048780487804879]"
mean,0.8524970963995354
