observacion,valor
k-folds,"[1.0, 1.0, 0.9512195121951219, 1.0, 0.9761904761904762, 0.9761904761904762, 1.0, 1.0, 0.975609756097561, 0.9512195121951219]"
mean,0.9830429732868756
